School_Id,Org_Name,Telephone,Fax,Email,Contact1_Name,URL,Add1_Line1,Add1_Suburb,Add1_City,Add2_Line1,Add2_Suburb,Add2_City,Add2_Postal_Code,Urban_Area,Org_Type,Definition,Authority,CoEd_Status,Territorial_Authority,Regional_Council,Local_Office_Name,Education_Region,General_Electorate,Māori_Electorate,Area_Unit,Ward,Col_Id,Col_Name,Longitude,Latitude,Decile,Roll_Date,Total,European,Māori,Pacific,Asian,MELAA,Other,International
11,Opononi Area School,09 405 8500,09 405 8501,anitaw@opononi.school.nz,Pateriki Toi,,263 State Highway 12,Omapere,Kaikohe,Private Bag 759,,Kaikohe,440,Rural Area,Composite,Not Applicable,State,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Omapere and Opononi,Kaikohe-Hokianga Ward,99148,Hokianga Community of Learning,173.390213,-35.528548,1,00:00.0,142,31,109,2,0,0,0,0
12,Tauraroa Area School,09 432 2643,09 432 2436,general@tauraroa.school.nz,Grant Burns,http://www.tauraroa.school.nz,398 Tauraroa Road,,Maungakaramea,P O Box 36,,Maungakaramea,146,Rural Area,Composite,Not Applicable,State,Co-Educational,Whangarei District,Northland Region,Whangarei,Tai Tokerau,Whangarei,Te Tai Tokerau,Wharekohe-Oakleigh,Bream Bay Ward,99183,Ngā Kura mo te ako o Whangarei Kāhui Ako Group 4,174.21817,-35.873062,6,00:00.0,551,385,139,4,9,8,5,1
13,Kamo High School,09 435 1688,09 435 0790,executive.officer@kamohigh.school.nz,Joanne Hutt,http://www.kamohigh.school.nz/,5 Wilkinson Avenue,Kamo,Whangarei,P O Box 4137,,Kamo,141,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Whangarei District,Northland Region,Whangarei,Tai Tokerau,Whangarei,Te Tai Tokerau,Kamo East,Denby Ward,99182,Te Tai Raki Whangarei Kāhui Ako,174.302814,-35.684386,4,00:00.0,800,348,396,8,23,7,0,18
14,Tikipunga High School,09 437 3299,09 437 2522,sec@tikihigh.school.nz,Alec Solomon,http://tikihigh.school.nz/,194 Corks Road,Tikipunga,Whangarei,P O Box 7041,Tikipunga,Whangarei,144,Main Urban Area,Secondary (Year 7-15), Normal School                                              ,State,Co-Educational,Whangarei District,Northland Region,Whangarei,Tai Tokerau,Whangarei,Te Tai Tokerau,Tikipunga West,Denby Ward,,,174.328318,-35.683552,2,00:00.0,261,38,212,9,1,0,1,0
15,Whangarei Boys' High School,09 430 4170,09 430 4172,enquiries@wbhs.school.nz,Karen Gilbert-Smith,http://www.wbhs.school.nz,10 Kent Road,,Whangarei,P O Box 5034,,Whangarei,140,Main Urban Area,Secondary (Year 9-15),School with Boarding Facilities,State,Single Sex (Boys School),Whangarei District,Northland Region,Whangarei,Tai Tokerau,Whangarei,Te Tai Tokerau,Regent,Okara Ward,99181,Ngā Kura mo te ako o Whangarei Kāhui Ako Group 2,174.31838,-35.716109,5,00:00.0,1072,555,411,30,51,12,5,8
16,Whangarei Girls' High School,09 430 4460,09 430 4410,office@wghs.school.nz,Anne Cooper,http://www.wghs.school.nz,1 Lupton Avenue,Regent,Whangarei,P O Box 5056,,Whangarei,140,Main Urban Area,Secondary (Year 9-15),School with Boarding Facilities,State,Single Sex (Girls School),Whangarei District,Northland Region,Whangarei,Tai Tokerau,Whangarei,Te Tai Tokerau,Regent,Okara Ward,99180,Ngā Kura mo te ako o Whangarei Kāhui Ako Group 1,174.319551,-35.713282,5,00:00.0,1333,757,447,38,45,26,7,13
17,Pompallier Catholic College,09 438 3950,09 430 0302,admin@pompallier.school.nz,Richard Stanton,http://www.pompalliercollege.school.nz,State Highway 14,Maunu,Whangarei,P O Box 10042,Te Mai,Whangarei,143,Main Urban Area,Secondary (Year 7-15),Not Applicable,State : Integrated,Co-Educational,Whangarei District,Northland Region,Whangarei,Tai Tokerau,Whangarei,Te Tai Tokerau,Te Hihi,Mangakahia-Maungatapere Ward,99180,Ngā Kura mo te ako o Whangarei Kāhui Ako Group 1,174.275714,-35.744857,7,00:00.0,523,330,75,21,66,12,5,14
18,Mangakahia Area School,09 433 1702,,admin@mangakahia.school.nz,Philip Reynolds,http://www.mangakahia.school.nz,Mangakahia Road,Titoki,Whangarei,Private Bag,Titoki,Whangarei,140,Rural Area,Composite,Not Applicable,State,Co-Educational,Whangarei District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Opouteke-Tanekaha,Mangakahia-Maungatapere Ward,99183,Ngā Kura mo te ako o Whangarei Kāhui Ako Group 4,174.05878,-35.732271,3,00:00.0,104,13,90,1,0,0,0,0
19,Dargaville High School,09 439 7229,09 439 7563,office@darghigh.school.nz,Michael Houghton,http://www.dargavillehighschool.co.nz,Plunket Street,,Dargaville,Plunket Street,,Dargaville,310,Minor Urban Area,Secondary (Year 9-15),School with Boarding Facilities,State,Co-Educational,Kaipara District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Dargaville,Dargaville Ward,99185,Northern Wairoa Kāhui Ako,173.868057,-35.931684,3,00:00.0,430,214,184,24,4,2,2,0
20,Bream Bay College,09 432 8226,09 432 8228,ksandford@breambaycollege.school.nz,Wayne Buckland,http://www.breambaycollege.school.nz/,Peter Snell Road,,Ruakaka,P O Box 111,,Ruakaka,151,Rural Area,Secondary (Year 7-15),Not Applicable,State,Co-Educational,Whangarei District,Northland Region,Whangarei,Tai Tokerau,Whangarei,Te Tai Tokerau,Marsden Point-Ruakaka,Bream Bay Ward,99184,Bream Bay Kāhui Ako,174.455785,-35.876072,5,00:00.0,506,279,189,17,15,3,1,2
21,Otamatea High School,09 431 8230,09 431 8229,ohs@otamatea.school.nz,Rachel Clothier-Simmonds,http://www.otamatea.school.nz,Bickerstaffe Road,,Maungaturoto,P O Box 64,,Maungaturoto,547,Rural Area,Secondary (Year 7-15),Not Applicable,State,Co-Educational,Kaipara District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Rehia-Oneriri,Otamatea Ward,99118,Twin Coast Community of Learning,174.36526,-36.117224,4,00:00.0,395,256,123,3,9,1,0,3
22,Ruawai College,09 439 2216,09 439 2214,,Raeleen Harre,http://www.ruawaicollege.school.nz,4375 State Highway 12,,Ruawai,State Highway 12,,Ruawai,530,Rural Area,Secondary (Year 7-15),Not Applicable,State,Co-Educational,Kaipara District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Rehia-Oneriri,West Coast-Central Ward,,,174.011674,-36.122564,4,00:00.0,147,74,69,2,2,0,0,0
23,Rodney College,09 423 6030,09 423 7555,eo@rodneycollege.school.nz,Irene Symes,http://www.rodneycollege.school.nz,287 Rodney Street,,Wellsford,287 Rodney Street,,Wellsford,900,Minor Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Rodney,Auckland Region,Auckland,Auckland,Northland,Te Tai Tokerau,Wellsford,Rodney Ward,,,174.520832,-36.288153,4,00:00.0,380,243,106,9,13,3,5,1
24,Mahurangi College,09 425 8039,09 425 7275,admin@mahurangi.school.nz,David Macleod,http://www.mahurangi.school.nz,Woodcocks Road,,Warkworth,P O Box 64,,Warkworth,941,Minor Urban Area,Secondary (Year 7-15),Not Applicable,State,Co-Educational,Auckland - Rodney,Auckland Region,Auckland,Auckland,Rodney,Te Tai Tokerau,Warkworth,Rodney Ward,99122,Mahurangi Community of Learning,174.655545,-36.40651,7,00:00.0,1445,1024,205,90,46,32,3,45
25,Orewa College,09 427 3833,,admin@orewacollege.nz,Kate Shevland,https://www.orewacollege.nz/,Riverside Road,,Orewa,P O Box 345,,Orewa,946,Main Urban Area,Secondary (Year 7-15),Not Applicable,State,Co-Educational,Auckland - Hibiscus and Bays,Auckland Region,Auckland,Auckland,Rodney,Te Tai Tokerau,Orewa,Albany Ward,99069,Orewa Community of Learning,174.689748,-36.591691,9,00:00.0,1955,1404,280,58,115,30,22,46
26,Kaipara College,09 420 8640,09 420 7485,jsherman@kaipara.school.nz,Stephen McCracken,http://www.kaipara.school.nz/,Rautawhiri Road,,Helensville,Rautawhiri Road,,Helensville,800,Minor Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Rodney,Auckland Region,Auckland,Auckland,Helensville,Te Tai Tokerau,Helensville,Rodney Ward,99097,Te Kāhui Ako o Kaipara,174.459139,-36.680149,7,00:00.0,748,497,185,22,22,8,3,11
27,Long Bay College,09 477 9009,09 477 9105,office@lbc.school.nz,CJ Healey,http://www.longbaycollege.com,Ashley Avenue,Torbay,Auckland,P O Box 89007,Torbay,Auckland,742,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Hibiscus and Bays,Auckland Region,Auckland,Auckland,East Coast Bays,Te Tai Tokerau,Long Bay,Albany Ward,99121,Oneroa Community of Learning,174.738758,-36.691388,10,00:00.0,1553,1081,85,21,140,43,15,168
28,Rangitoto College,09 477 0150,09 477 0077,info@rangitoto.school.nz,Patrick Gale,http://www.rangitoto.school.nz,564 East Coast Road,Browns Bay,Auckland,P O Box 93601,Browns Bay,Auckland,753,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Upper Harbour,Auckland Region,Auckland,Auckland,East Coast Bays,Te Tai Tokerau,Windsor Park,Albany Ward,99000,Mid Bays Community of Schools,174.736685,-36.73719,10,00:00.0,3158,1631,160,50,895,130,29,263
29,Kristin School,09 415 9566,,kristin@kristin.school.nz,Tim Oughton,http://www.kristin.school.nz/,360 Albany Highway,Albany,Auckland,P O Box 300087,Albany,Auckland,752,Main Urban Area,Composite,Not Applicable,Private : Fully Registered,Co-Educational,Auckland - Upper Harbour,Auckland Region,Auckland,Auckland,East Coast Bays,Te Tai Tokerau,North Harbour West,Albany Ward,,,174.692244,-36.742982,10,00:00.0,1610,826,32,13,630,22,5,82
30,Glenfield College,09 444 9066,09 444 7198,admin@gc.ac.nz,Paul McKinley,https://www.gc.ac.nz/,Kaipatiki Road,Glenfield,Auckland,P O Box 40176,Glenfield,North Shore City,747,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Kaipatiki,Auckland Region,Auckland,Auckland,Northcote,Te Tai Tokerau,Kaipatiki,North Shore Ward,99120,Kaipātiki Community of Learning,174.714954,-36.779794,6,00:00.0,443,144,74,32,112,35,6,40
31,Birkenhead College,09 483 9039,09 483 4094,office@birkenhead.school.nz,Craig Waller,http://www.birkenhead.school.nz/,140 Birkdale Road,Birkenhead,Auckland,Private Bag 34911,Birkenhead,North Shore City,746,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Kaipatiki,Auckland Region,Auckland,Auckland,Northcote,Te Tai Tokerau,Birkdale South,North Shore Ward,,,174.701152,-36.799168,6,00:00.0,610,246,107,104,81,27,5,40
32,Northcote College,09 481 0141,09 481 0142,office@northcote.school.nz,Vicki Barrie,http://www.northcote.school.nz,Kauri Glen Road,Northcote,Auckland,Kauri Glen Road,Northcote,North Shore City,627,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Kaipatiki,Auckland Region,Auckland,Auckland,Northcote,Te Tai Tokerau,Northcote South,North Shore Ward,99067,Northcote Community of Learning,174.733678,-36.808874,7,00:00.0,1085,522,146,95,153,42,5,122
35,Carmel College,09 486 1132,09 486 2286,admin@carmel.school.nz,Christine Allen,http://www.carmel.school.nz/,108 Shakespeare Road,Milford,Auckland,P O Box 31142,Milford,North Shore City,741,Main Urban Area,Secondary (Year 7-15),Not Applicable,State : Integrated,Single Sex (Girls School),Auckland - Devonport-Takapuna,Auckland Region,Auckland,Auckland,North Shore,Te Tai Tokerau,Westlake,North Shore Ward,99126,North Shore Catholic Schools Community of Learning,174.756742,-36.779169,9,00:00.0,1045,615,47,59,222,50,6,46
36,Takapuna Grammar School,09 489 4167,09 486 7118,office@takapuna.school.nz,Mary Nixon,http://www.takapuna.school.nz,210 Lake Road,Takapuna,Auckland,P O Box 331096,Takapuna,Auckland,740,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Devonport-Takapuna,Auckland Region,Auckland,Auckland,North Shore,Te Tai Tokerau,Seacliffe,North Shore Ward,99048,Devonport Community of Learning,174.788478,-36.800609,10,00:00.0,1693,1047,88,38,237,36,22,225
37,Westlake Boys' High School,09 410 8667,09 410 7717,office@westlake.school.nz,David Ferguson,http://www.westlake.school.nz,Forrest Hill Road,Takapuna,Auckland,30 Forrest Hill Road,Forrest Hill,North Shore City,620,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Single Sex (Boys School),Auckland - Devonport-Takapuna,Auckland Region,Auckland,Auckland,North Shore,Te Tai Tokerau,Westlake,North Shore Ward,99188,Pupuke (Westlake) Community of Learning,174.749492,-36.777359,9,00:00.0,2324,1048,152,95,753,64,8,204
38,Westlake Girls' High School,09 489 4169,09 486 1860,principal@westlakegirls.school.nz,Jane Stanley,http://www.westlakegirls.school.nz,2 Wairau Road,Takapuna,Auckland,2 Wairau Road,Takapuna,North Shore City,627,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Single Sex (Girls School),Auckland - Devonport-Takapuna,Auckland Region,Auckland,Auckland,North Shore,Te Tai Tokerau,Westlake,North Shore Ward,99188,Pupuke (Westlake) Community of Learning,174.75231,-36.782451,9,00:00.0,2257,944,148,85,704,87,17,272
39,Rosmini College,09 489 5417,09 489 5323,hmeurant@rosmini.school.nz,Nixon Cooper,http://www.rosmini.school.nz,36 Dominion Street,Takapuna,Auckland,36 Dominion Street,Takapuna,North Shore City,622,Main Urban Area,Secondary (Year 7-15),Not Applicable,State : Integrated,Single Sex (Boys School),Auckland - Devonport-Takapuna,Auckland Region,Auckland,Auckland,North Shore,Te Tai Tokerau,Westlake,North Shore Ward,99126,North Shore Catholic Schools Community of Learning,174.760146,-36.792436,9,00:00.0,1073,644,83,62,197,50,3,34
40,Rutherford College,09 834 9790,09 834 6506,admin@rutherford.school.nz,Gary Moore,http://www.rutherfordcollege.school.nz,Kotuku Street,Te Atatu,Auckland,Kotuku Street,Te Atatu Peninsula,Waitakere,610,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Henderson-Massey,Auckland Region,Auckland,Auckland,Te Atatu,Te Tai Tokerau,Te Atatu Central,Waitakere Ward,99013,Te Atatu Community of Schools,174.64631,-36.852583,5,00:00.0,1220,455,259,188,209,31,5,73
41,Macleans College,09 535 2620,09 535 2621,gn@macleans.school.nz,Steven Hargreaves,http://www.macleans.school.nz,Macleans Road,Bucklands Beach,Auckland,Private Bag 94201,Howick,Auckland,2145,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Howick,Auckland Region,Auckland,Auckland,Pakuranga,Tamaki Makaurau,Bucklands and Eastern Beaches,Howick Ward,,,174.914425,-36.882715,9,00:00.0,2559,822,88,32,1214,56,9,338
42,Green Bay High School,09 817 8173,09 817 8264,office@greenbayhigh.school.nz,Morag Hutchinson,http://www.greenbayhigh.school.nz,143-161 Godley Road,Green Bay,Auckland,161 Godley Road,Green Bay,Waitakere,604,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Whau,Auckland Region,Auckland,Auckland,New Lynn,Tamaki Makaurau,Green Bay,Whau Ward,99062,Kōtuitui Community of Learning,174.669396,-36.930943,8,00:00.0,1322,924,154,62,105,31,7,39
43,Massey High School,09 831 0500,09 833 9200,office@masseyhigh.school.nz,Glen Denham,http://www.masseyhigh.school.nz/,274 Don Buck Road,Massey,Auckland,274 Don Buck Road,Massey,Waitakere,614,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Henderson-Massey,Auckland Region,Auckland,Auckland,Upper Harbour,Te Tai Tokerau,Birdwood East,Waitakere Ward,99125,Te Kāhui Ako o Tiriwā,174.601694,-36.841873,4,00:00.0,1649,523,366,456,207,56,2,39
44,Waitakere College,09 836 7890,09 836 7892,secretary@waitakerecollege.school.nz,Mark Shanahan,http://www.waitakere-college.school.nz,Rathgar Road,Henderson,Auckland,P O Box 21144,Henderson,Waitakere,650,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Henderson-Massey,Auckland Region,Auckland,Auckland,Te Atatu,Te Tai Tokerau,Fairdene,Waitakere Ward,99092,"Te Kāhui Ako o Waitakere, Waitakere Community of Learners",174.620713,-36.86709,3,00:00.0,1236,340,276,375,181,48,4,12
45,Henderson High School,09 838 9085,09 838 9164,admin@hhs.school.nz,Michael Purcell,http://www.hhs.school.nz,Henderson Valley Road,Henderson,Auckland,P O Box 21141,Henderson,Waitakere,650,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Henderson-Massey,Auckland Region,Auckland,Auckland,Te Atatu,Te Tai Tokerau,Henderson South,Waitakere Ward,99029,Henderson Community of Learning,174.628206,-36.883649,3,00:00.0,787,371,174,123,74,32,1,12
46,Liston College,09 838 9350,09 837 9809,info@liston.school.nz,Christopher Rooney,http://www.liston.school.nz,69 Rathgar Road,Henderson,Auckland,69 Rathgar Road,Henderson,Waitakere,610,Main Urban Area,Secondary (Year 7-15),Not Applicable,State : Integrated,Single Sex (Boys School),Auckland - Henderson-Massey,Auckland Region,Auckland,Auckland,Te Atatu,Te Tai Tokerau,Fairdene,Waitakere Ward,99092,"Te Kāhui Ako o Waitakere, Waitakere Community of Learners",174.62316,-36.866057,5,00:00.0,821,262,60,172,247,46,5,29
47,St Dominic's Catholic College (Henderson),09 839 0380,09 839 0390,stdoms@stdoms.ac.nz,Carol Coddington,http://www.stdoms.ac.nz,29 Rathgar Road,Henderson,Auckland,P O Box 21123,Henderson,Waitakere,650,Main Urban Area,Secondary (Year 7-15),Not Applicable,State : Integrated,Single Sex (Girls School),Auckland - Henderson-Massey,Auckland Region,Auckland,Auckland,Te Atatu,Te Tai Tokerau,Fairdene,Waitakere Ward,99092,"Te Kāhui Ako o Waitakere, Waitakere Community of Learners",174.621072,-36.868852,5,00:00.0,863,250,82,206,224,49,2,50
48,Western Springs College,09 815 6730,09 815 6740,admin@wsc.school.nz,Ivan Davis,http://www.westernsprings.school.nz,Motions Road,Western Springs,Auckland,Motions Road,Western Springs,Auckland,1022,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Waitemata,Auckland Region,Auckland,Auckland,Mt Albert,Tamaki Makaurau,Westmere,Waitemata and Gulf Ward,99154,Te Kāhui Ako o Waitematā,174.717536,-36.861969,8,00:00.0,1451,784,307,91,135,18,5,111
49,Selwyn College,09 521 9610,09 521 9620,info@selwyn.school.nz,Sheryll Ofner,http://www.selwyn.school.nz,Kohimarama Road,Kohimarama,Auckland,203 Kohimarama Road,Kohimarama,Auckland,1071,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Orakei,Auckland Region,Auckland,Auckland,Tamaki,Tamaki Makaurau,Mission Bay,Orakei Ward,99100,Te Roopu Pourewa Community of Learning,174.838552,-36.862324,4,00:00.0,1148,467,128,104,226,128,32,63
50,St Mary's College (Ponsonby),09 376 6568,09 376 0206,office@stmaryak.school.nz,Bernadette Stockman,http://www.stmaryak.school.nz,11 New Street,Ponsonby,Auckland,P O Box 47003,Ponsonby,Auckland,1144,Main Urban Area,Secondary (Year 7-15),Not Applicable,State : Integrated,Single Sex (Girls School),Auckland - Waitemata,Auckland Region,Auckland,Auckland,Auckland Central,Tamaki Makaurau,St Marys,Waitemata and Gulf Ward,99030,Auckland Central Catholic Community of Schools,174.748235,-36.845996,8,00:00.0,1017,614,81,153,114,6,2,47
51,St Paul's College (Ponsonby),09 376 1287,09 378 6713,stpauls@stpaulscollege.co.nz,Kieran Fouhy,http://www.stpaulscollege.co.nz/,183 Richmond Road,Ponsonby,Auckland,183 Richmond Road,Grey Lynn,Auckland,1021,Main Urban Area,Secondary (Year 7-15),Not Applicable,State : Integrated,Single Sex (Boys School),Auckland - Waitemata,Auckland Region,Auckland,Auckland,Auckland Central,Tamaki Makaurau,Ponsonby West,Waitemata and Gulf Ward,99030,Auckland Central Catholic Community of Schools,174.73779,-36.854449,2,00:00.0,227,6,25,187,8,1,0,0
52,Tyndale Park Christian School,09 274 9771,09 274 9772,admin@tyndalepark.school.nz,Barend Blom,http://www.tyndalepark.school.nz,206 Murphys Road,Flat Bush,Manukau,206 Murphys Road,Flat Bush,Manukau,2019,Main Urban Area,Composite,Not Applicable,Private : Fully Registered,Co-Educational,Auckland - Howick,Auckland Region,Auckland,Auckland,Hunua,Hauraki-Waikato,Ormiston,Howick Ward,,,174.92224,-36.974539,99,00:00.0,116,16,10,18,39,7,26,0
53,Auckland Girls' Grammar School,09 307 4180,09 309 9152,admin@aggs.school.nz,Ngaire Ashmore,http://www.aggs.school.nz,Howe Street,Newton,Auckland,P O Box 68053,Wellesley Street,Auckland,1141,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Single Sex (Girls School),Auckland - Waitemata,Auckland Region,Auckland,Auckland,Auckland Central,Tamaki Makaurau,Freemans Bay,Waitemata and Gulf Ward,99150,Mt Albert Community of Learning,174.753651,-36.857013,3,00:00.0,1043,55,229,544,158,28,4,25
54,Auckland Grammar,09 623 5400,09 623 5401,admin@ags.school.nz,Timothy O'Connor,http://www.ags.school.nz,Mountain Road,Epsom,Auckland,Private Bag 99930,Newmarket,Auckland,1149,Main Urban Area,Secondary (Year 9-15),School with Boarding Facilities,State,Single Sex (Boys School),Auckland - Albert-Eden,Auckland Region,Auckland,Auckland,Epsom,Tamaki Makaurau,Mt Eden North,Albert-Eden-Roskill Ward,,,174.768851,-36.869407,9,00:00.0,2492,1064,167,137,912,48,13,151
57,Tamaki College,09 521 1104,09 528 5341,admin@tamaki.ac.nz,Soana Pamaka,http://www.tamaki.ac.nz,Elstree Avenue,Glen Innes,Auckland,P O Box 18061,Glen Innes,Auckland,1743,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Maungakiekie-Tamaki,Auckland Region,Auckland,Auckland,Tamaki,Tamaki Makaurau,Glen Innes East,Maungakiekie-Tamaki Ward,99031,Manaiakalani Community of Learning,174.867272,-36.877936,1,00:00.0,566,12,159,382,7,3,1,2
